date,region,temperature,rainfall,co2,sea_level,year,month,season,decade,temp_rolling_12,rain_rolling_12,z_score,anomaly
2000-01-01,North,22.19539981421573,77.86606829425244,371.6192213452517,1.0661208994856175,2000,1,Winter,2000,22.19539981421573,77.86606829425244,-0.49785850688111033,False
2000-02-01,North,24.464835635571266,79.10515284806526,368.7478046649412,-0.3326188650247034,2000,2,Winter,2000,23.330117724893498,78.48561057115884,-0.1271144222529904,False
2000-03-01,North,22.609115034481757,49.37712470759027,367.8679221991639,0.2899731328166917,2000,3,Spring,2000,23.08978349475625,68.78278194996932,-0.43027233890450994,False
2000-04-01,North,23.216912881197125,46.97720466912609,376.9987200775945,0.3809631153157207,2000,4,Spring,2000,23.12156584136647,63.33138762975852,-0.3309800592114728,False
2000-05-01,North,20.707105834113676,27.834351196102947,369.2957334694265,1.4365947291562562,2000,5,Spring,2000,22.63867383991591,56.231980343027395,-0.7409921456992817,False
2000-06-01,North,17.73876936463526,30.893489132561232,367.8372022151934,0.9393945850503698,2000,6,Summer,2000,21.822023094035803,52.008898474616366,-1.225911426909761,False
2000-07-01,North,15.605853211993576,32.46497150593542,370.91087929402937,-0.0007725869125021,2000,7,Summer,2000,20.93399882517263,49.21690890766195,-1.5743531141161202,False
2000-08-01,North,10.136472837203046,32.19408733952892,368.573619238296,0.3391002178396153,2000,8,Summer,2000,19.58430807667643,47.08905621164532,-2.4678529000336384,True
2000-09-01,North,10.148309199571658,61.11676288840867,374.1774988062399,0.931896083381339,2000,9,Autumn,2000,18.535863756998122,48.647690286841254,-2.465919264682339,True
2000-10-01,North,9.934407568142456,79.9964697578482,371.3556696968234,0.0277316839195897,2000,10,Autumn,2000,17.675718138112554,51.782568233941944,-2.5008630880759934,True
2000-11-01,North,14.519185829787528,89.28404028488453,372.9040900626191,-0.1015838282235869,2000,11,Autumn,2000,17.388760655537553,55.19179296584581,-1.7518754305086495,False
2000-12-01,North,22.853214755077342,73.79609194932624,371.203404024962,0.3423951387676777,2000,12,Winter,2000,17.8441318304992,56.74215121446918,-0.39039523525672526,False
2001-01-01,North,21.7724650871497,59.37302215995537,371.8508202804062,0.6699788000582225,2001,1,Winter,2000,17.808887269910365,55.20106403661109,-0.5669508102492141,False
2001-02-01,North,23.92115183609479,64.73131205960277,373.853620828812,1.2657306570524194,2001,2,Winter,2000,17.76358028662066,54.003243970905885,-0.21593277554911838,False
2001-03-01,North,25.303908569087252,64.68644990532889,371.0448672653066,0.2606364973815623,2001,3,Spring,2000,17.988146414504453,55.27902107071744,0.009959877775818679,False
2001-04-01,North,20.52493135990221,44.45517943888767,372.0112088710493,0.3226042004710406,2001,4,Spring,2000,17.763814621063208,55.0688523015309,-0.7707528941851308,False
2001-05-01,North,24.33266026169474,32.49706682235411,373.8438759768069,0.507887858963683,2001,5,Spring,2000,18.065944156694965,55.45741193705183,-0.1487071183482525,False
